type	UniqueNumb	Word.order	Realization1
Read	102		Jeg setter meg ofte fremst på forelesningen.
Read	104		Jeg kjeder meg bestandig i mattetimen.
Read	108		Jeg kjører ikke bil til jobb.
Read	110		Jeg går aldri på ski til skolen.
Read	112		Jeg går alltid på kino på fredager.
Read	204		Jeg legger meg ofte innen midnatt.
Read	212		Jeg kommer aldri for sent på skolen.
Read	302		Snør det ofte i Tromsø?
Read	312		Ventet Anne på en venninne etter norsktimen?
Read	101		Jeg setter meg ofte lengst bak i bussen.
Read	103		Jeg sminker meg ikke på hverdager.
Read	107		Jeg kjører ofte bil til jobb.
Read	109		Jeg kommer aldri for sent på jobb.
Read	111		Jeg drikker bestandig en flaske vann til maten.
Read	502		Hva kjøpte Marit i butikken?
Read	205		Jeg oppfører meg alltid bra på skolen.
Read	307		Sendte Anne en melding til venninnen sin i går?
Read	311		Går Marit bestandig i kirken på søndager?
Read	404		Hvor mange kunder kjøpte en ny skjorte?
Read	408		Når kjøpte Pål leiligheten sin?
Read	506		Hvem kom på festen i går?
Read	508		Hvilken hund likte Pål best?
Read	510		Hva slags fugl var det?
Read	602		Jeg har glemt nøklene mine hjemme.
Read	608		Jeg liker fiskekaker bedre enn kjøttkaker.
Read	610		Jeg har glemt vesken min på bussen.
Read	612		Jeg kjøpte en ny klokke i går. 
Read	403		Hvor mye snø kom det i går?
Read	407		Hva slags band spilte på festivalen i helgen?
Read	505		Når åpnet den nye spillbutikken i Tromsø?
Read	507		Hvor mange kunder kjøpte en ny kjole?
Read	509		Hvordan var treningen i går?
Read	601		Jeg fant vottene mine under sengen.
Read	603		Jeg ble bitt i hånden av en katt.
Read	605		Jeg skjøt ballen rett i mål.
Read	607		En rotte er større enn en mus.
Produce	102	VA	Anne sier at hun setter seg ofte fremst på forelesningen.
Produce	102	AV	Anne sier at hun ofte setter seg fremst på forelesningen.
Produce	104	VA	Marit sier at hun kjeder seg bestandig i mattetimen.
Produce	104	AV	Marit sier at hun bestandig kjeder seg i mattetimen.
Produce	108	AV	Anne sier at hun ikke kjører bil til jobb.
Produce	108	VA	Anne sier at hun kjører ikke bil til jobb.
Produce	110	VA	Marit sier at hun går aldri på ski til skolen.
Produce	110	AV	Marit sier at hun aldri går på ski til skolen.
Produce	112	VA	Anne sier at hun går alltid på kino på fredager.
Produce	112	AV	Anne sier at hun alltid går på kino på fredager.
Produce	204	VA	Marit er stolt av at hun legger seg ofte innen midnatt.
Produce	204	AV	Marit er stolt av at hun ofte legger seg innen midnatt.
Produce	212	VA	Marit er stolt av at hun kommer aldri for sent på skolen.
Produce	212	AV	Marit er stolt av at hun aldri kommer for sent på skolen.
Produce	302	VA	Anne spurte om det snør ofte i Tromsø.
Produce	302	AV	Anne spurte om det ofte snør i Tromsø.
Produce	312	fill	Marit spurte om Anne ventet på en venninne etter norsktimen.
Produce	101	VA	Pål sier at han setter seg ofte lengst bak i bussen.
Produce	101	AV	Pål sier at han ofte setter seg lengst bak i bussen.
Produce	103	AV	Anne sier at hun ikke sminker seg på hverdager.
Produce	103	VA	Anne sier at hun sminker seg ikke på hverdager.
