type	UniqueNumber	Word.order	Realization1
Read	101		Læreren skyndte sig hjem fra arbejde i går.
Read	102		Han skyndte sig hjem fra arbejde i går.
Read	103		Skuespilleren vendte sig pludselig mod publikum.
Read	104		Hun vendte sig pludselig mod publikum.
Read	105		Bageren vaskede sig lige efter arbejde i går.
Read	106		Han vaskede sig lige efter arbejde i går.
Read	107		Politimanden satte sig i den anden bil efter mødet.
Read	108		Hun satte sig i den anden bil efter mødet.
Read	109		Advokaten barberede sig før arbejde hver dag.
Read	110		Han barberede sig før arbejde hver dag.
Read	111		Læreren gav mig en ny bog i går.
Read	112		Bageren gav mig frisk brød hver dag.
Read	113		Advokaten tilbød mig en ny stilling i sidste uge.
Read	114		Skuespilleren sendte mig lange breve hver dag.
Read	115		Politimanden viste mig et billede af bilen efter mødet.
Read	116		Læreren tog ikke bussen til arbejde i går.
Read	117		Hun tog ikke bussen til arbejde i går.
Read	118		Politimanden ventede ikke på sin kollega i går.
Read	119		Han ventede ikke på sin kollega i går.
Read	120		Bageren kom ikke for sent hver dag i sidste uge.
Read	121		Han kom ikke for sent hver dag i sidste uge.
Read	122		Studerende tog ikke hjem til forældrene sidste år.
Read	123		Hun tog ikke hjem til forældrene sidste år.
Read	124		Advokaten fandt ikke nøglerne til kontoret i går.
Read	125		Han fandt ikke nøglerne til kontoret i går.
Read	126		Den nye studerende ryddede op i køkkenet i går.
Read	127		Han ryddede op i køkkenet i går.
Read	128		Den bedste løber gav op på sidste runde i går.
Read	129		Han gav op på sidste runde i går.
Read	130		Den unge politimand brød sammen under afhøringen i går.
Read	131		Han brød sammen under afhøringen i går.
Read	132		Den unge skuespiller stillede op for sin kollega i går.
Read	133		Han stillede op for sin kollega i går.
Read	134		Den nye studerende gik ud i byen i går.
Read	135		Tre malerier faldt ned i den store sal i går.
Read	136		To huse brændte ned i Oslo i går.
Produce	101	SR	I går skyndte læreren sig hjem fra arbejde.
Produce	102	SR	I går skyndte han sig hjem fra arbejde.
Produce	103	SR	Pludselig vendte skuespilleren sig mod publikum.
Produce	104	SR	Pludselig vendte hun sig mod publikum.
Produce	105	SR	I går vaskede bageren sig lige efter arbejde.
Produce	106	SR	I går vaskede han sig lige efter arbejde.
Produce	107	SR	Efter mødet satte politimanden sig i den anden bil.
Produce	108	SR	Efter mødet satte hun sig i den anden bil.
Produce	109	SR	Hver dag barberede advokaten sig før arbejde.
Produce	110	SR	Hver dag barberede han sig før arbejde.
Produce	111	SO	I går gav læreren mig en ny bog.
Produce	112	SO	Hver dag gav bageren mig frisk brød.
Produce	113	SO	I sidste uge tilbød advokaten mig en ny stilling.
Produce	114	SO	Hver dag sendte skuespilleren mig lange breve.
Produce	115	SO	Efter mødet viste politimanden mig et billede af bilen.
Produce	116	SN	I går tog læreren ikke bussen til arbejde.
Produce	117	SN	I går tog hun ikke bussen til arbejde.
Produce	118	SN	I går ventede politimanden ikke på sin kollega.
Produce	119	SN	I går ventede han ikke på sin kollega.
Produce	120	SN	I sidste uge kom bageren ikke for sent hver dag.
Produce	121	SN	I sidste uge kom han ikke for sent hver dag.
Produce	122	SN	Sidste år tog studerende ikke hjem til forældrene.
Produce	123	SN	Sidste år tog hun ikke hjem til forældrene.
Produce	124	SN	I går fandt advokaten ikke nøglerne til kontoret.
Produce	125	SN	I går fandt han ikke nøglerne til kontoret.
Produce	126	SP	I går ryddede den nye studerende op i køkkenet.
Produce	127	SP	I går ryddede han op i køkkenet.
Produce	128	SP	I går gav den bedste løber op på sidste runde.
Produce	129	SP	I går gav han op på sidste runde.
Produce	130	SP	I går brød den unge politimand sammen under afhøringen.
Produce	131	SP	I går brød han sammen under afhøringen.
Produce	132	SP	I går stillede den unge skuespiller op for sin kollega.
Produce	133	SP	I går stillede han op for sin kollega.
