UniqueNumb	item	subitem	name	Main1	Emb1	cond11	cond12	adv1
102	1	b	Anne	Jeg setter meg ofte fremst på forelesningen.	Anne sier at...	BridgeV	Reflexive	ofte
104	2	b	Marit	Jeg kjeder meg bestandig i mattetimen.	Marit sier at...	BridgeV	Reflexive	alltid
108	4	b	Anne	Jeg kjører ikke bil til jobb.	Anne sier at...	BridgeV	NonReflexive	ikke
110	5	b	Marit	Jeg går aldri på ski til skolen.	Marit sier at...	BridgeV	NonReflexive	aldri
112	6	b	Anne	Jeg går alltid på kino på fredager.	Anne sier at...	BridgeV	NonReflexive	alltid
204	8	b	Marit	Jeg legger meg ofte innen midnatt.	Marit er stolt av at...	Non-BridgeV	Reflexive	ofte
212	12	b	Marit	Jeg kommer aldri for sent på skolen.	Marit er stolt av at...	Non-BridgeV	NonReflexive	aldri
302	13	b	Anne	Snør det ofte i Tromsø?	Anne spurte om...	VtoI	Reflexive	ofte
312	18	b	Marit	Ventet Anne på en venninne etter norsktimen?	Marit spurte om...	VtoI	NonReflexive	none
101	1	a	Pål	Jeg setter meg ofte lengst bak i bussen.	Pål sier at...	BridgeV	Reflexive	ofte
103	2	a	Anne	Jeg sminker meg ikke på hverdager.	Anne sier at...	BridgeV	Reflexive	ikke
107	4	a	Pål	Jeg kjører ofte bil til jobb.	Pål sier at...	BridgeV	NonReflexive	ofte
109	5	a	Ole	Jeg kommer aldri for sent på jobb.	Ole sier at...	BridgeV	NonReflexive	aldri
111	6	a	Pål	Jeg drikker bestandig en flaske vann til maten.	Pål sier at...	BridgeV	NonReflexive	alltid
502	25	b	Anne	Hva kjøpte Marit i butikken?	Anne spurte...	EmbObQ	NonReflexive	none
205	9	a	Pål	Jeg oppfører meg alltid bra på skolen.	Pål er stolt av at...	Non-BridgeV	Reflexive	alltid
307	16	a	Ole	Sendte Anne en melding til venninnen sin i går?	Ole spurte om...	VtoI	NonReflexive	none
311	18	a	Ole	Går Marit bestandig i kirken på søndager?	Ole spurte om...	VtoI	NonReflexive	alltid
404	20	b	Marit	Hvor mange kunder kjøpte en ny skjorte?	Marit ville vite...	EmbSubQ	NonReflexive	none
408	22	b	Marit	Når kjøpte Pål leiligheten sin?	Marit spurte...	EmbObQ	NonReflexive	none
506	27	b	Anne	Hvem kom på festen i går?	Anne spurte...	EmbSubQ	NonReflexive	none
508	28	b	Marit	Hvilken hund likte Pål best?	Marit ville vite...	EmbObQ	NonReflexive	none
510	29	b	Anne	Hva slags fugl var det?	Anne spurte...	EmbObQ	NonReflexive	none
602	31	b	Anne	Jeg har glemt nøklene mine hjemme.	Anne er sikker på at...	FillerDecl	NonReflexive	none
608	34	b	Marit	Jeg liker fiskekaker bedre enn kjøttkaker.	Marit sa at...	FillerDecl	NonReflexive	none
610	35	b	Anne	Jeg har glemt vesken min på bussen.	Anne er sikker på at...	FillerDecl	NonReflexive	none
612	36	b	Marit	Jeg kjøpte en ny klokke i går. 	Marit sa at...	FillerDecl	NonReflexive	none
403	20	a	Ole	Hvor mye snø kom det i går?	Ole ville vite...	EmbObQ	NonReflexive	none
407	22	a	Ole	Hva slags band spilte på festivalen i helgen?	Ole spurte...	EmbSubQ	NonReflexive	none
505	27	a	Pål	Når åpnet den nye spillbutikken i Tromsø?	Pål ville vite...	EmbObQ	NonReflexive	none
