number	name	read	Emb1	cond11	cond12	adv1
102	Anne	Jeg setter meg ofte fremst på forelesningen.	Anne sier at...	Bridge	Reflexive	ofte
104	Marit	Jeg kjeder meg bestandig i mattetimen.	Marit sier at...	Bridge	Reflexive	alltid
108	Anne	Jeg kjører ikke bil til jobb.	Anne sier at...	Bridge	NonReflexive	ikke
110	Marit	Jeg går aldri på ski til skolen.	Marit sier at...	Bridge	NonReflexive	aldri
112	Anne	Jeg går alltid på kino på fredager.	Anne sier at...	Bridge	NonReflexive	alltid
204	Marit	Jeg legger meg ofte innen midnatt.	Marit er stolt av at...	Non-Bridge	Reflexive	ofte
212	Marit	Jeg kommer aldri for sent på skolen.	Marit er stolt av at...	Non-Bridge	NonReflexive	aldri
302	Anne	Snør det ofte i Tromsø?	Anne spurte om...	VtoI	Reflexive	ofte
312	Marit	Ventet Anne på en venninne etter norsktimen?	Marit spurte om...	FillQ	NonReflexive	none
101	Pål	Jeg setter meg ofte lengst bak i bussen.	Pål sier at...	Bridge	Reflexive	ofte
103	Anne	Jeg sminker meg ikke på hverdager.	Anne sier at...	Bridge	Reflexive	ikke
107	Pål	Jeg kjører ofte bil til jobb.	Pål sier at...	Bridge	NonReflexive	ofte
109	Ole	Jeg kommer aldri for sent på jobb.	Ole sier at...	Bridge	NonReflexive	aldri
111	Pål	Jeg drikker bestandig en flaske vann til maten.	Pål sier at...	Bridge	NonReflexive	alltid
502	Anne	Hva kjøpte Marit i butikken?	Anne spurte...	EmbObQ	NonReflexive	none
205	Pål	Jeg oppfører meg alltid bra på skolen.	Pål er stolt av at...	Non-Bridge	Reflexive	alltid
307	Ole	Sendte Anne en melding til venninnen sin i går?	Ole spurte om...	FillQ	NonReflexive	none
311	Ole	Går Marit bestandig i kirken på søndager?	Ole spurte om...	VtoI	NonReflexive	alltid
801	Pål:	Pål sa at skolen heldigvis halverte sykefraværet i fjor.	...	V3	none	mer enn
803	Marit:	Marit sa at hun rett og slett elsker sjokolade.	...	V3	none	simpelthen
813	Marit:	Marit sa at hun vanligvis hater lutefisk. 	...	V2	none	vanligvis
805	Pål:	Pål sa at Norge heldigvis gruset Danmark i finalen.	...	V2	none	heldigvis
815	Marit:	Marit sa at TIL bokstavelig talt knuste Rosenborg i bortekampen.	...	V3	none	bokstavelig talt
807	Marit:	Marit sa at hun nesten gråt av glede da TIL scoret.	...	V3	none	nesten
817	Pål:	Pål sa at han nesten fikk alt rett på matteprøven.	...	V2	none	nesten
651	Pål:	Pål sa at han hadde glemt nøklene sine hjemme.	...	FillerDecl	NonReflexive	none
802	Pål:	Pål sa at skolen mer enn halverte sykefraværet i fjor.	...	V3	none	mer enn
804	Pål:	Pål sa at han rett og slett elsker marsipan.	...	V3	none	simpelthen
814	Pål:	Pål sa at han vanligvis hater kjøttkaker.	...	V2	none	vanligvis
806	Pål:	Pål sa at Norge bokstavelig talt gruset Danmark i finalen.	...	V3	none	bokstavelig talt
816	Marit:	Marit sa at Rosenborg dessverre knuste TIL i hjemmekampen.	...	V2	none	dessverre
808	Pål:	Pål sa at han nesten hylte av glede etter kampen.	...	V3	none	nesten
818	Marit:	Marit sa at hun nesten fikk alt rett på kjemiprøven.	...	V2	none	nesten
651	Pål:	Pål sa at han hadde glemt klokken sin hjemme.	...	FillerDecl	NonReflexive	none
404	Marit	Hvor mange kunder kjøpte en ny skjorte?	Marit ville vite...	EmbSubQ	NonReflexive	none
408	Marit	Når kjøpte Pål leiligheten sin?	Marit spurte...	EmbObQ	NonReflexive	none
