type	UniqueNumber	Word.order	Realization1
Read	101		Eg seti meg ofta aftast í bussinum.
Read	103		Eg smyrji mær ongantí_ um gerandisdagarnar.
Read	105		Eg raki mær altí_ um morgunin.
Read	107		Eg koyri ofta bil til arbei_is.
Read	109		Eg komi aldri ov seint til arbei_is.
Read	111		Eg lurti altí_ eftir útvarpinum í bilinum.
Read	201		Eg bekymri meg aldri um smáting.
Read	203		Eg leggi meg ofta at sova á_renn midnátt.
Read	205		Eg uppføri meg altí_ væl í skúlanum.
Read	207		Eg fái ofta alt rætt í einari roynd!
Read	209		Eg súkkli altí_ til arbei_is!
Read	211		Eg komi aldri ov seint í skúla.
Read	301		Setur Óli seg altí_ fremst í skúlastovuni? 
Read	303		Følir Páll seg ofta einsamallan í skúlanum?
Read	305		Rakar Óli sær ongantí_ um morgunin?
Read	307		Súkklar Páll altí_ til arbei_is?
Read	309		Kemur Ása ofta ov seint í skúla?
Read	311		Fer Ása ongantí_ í b_in leygarkvøld?
Read	401		Hvør var í ballinum í gjárkvøldi?
Read	403		Hvørjir næmingar komu rættstundis til tíman?
Read	405		Hvør vann kappingina í gjár?
Read	407		Hvørjir sangarar sungu á konsertini?
Read	409		Hvussu nógvir næmingar eru á skúlanum?
Read	411		Hvør hevur gjørt ta_?
Read	501		Hvat keypti Ása í handlinum?
Read	503		Nær kom Ása til hús í gjár?
Read	505		Hvussu nógvar fiskar fekk Einar?
Read	507		Hvørjar filmar sá Páll í gjár?
Read	509		Hvat slag av fugli var hatta?
Read	511		Hvagar fer Ása í feriu?
Read	601		Eg havi gloymt lyklarnar vi_ hús.
Read	603		Páll hevur veri_ sjúkur alla vikuna. 
Read	605		Útfer_in í morgin ver_ur av ongum.
Read	607		T_skland er størri enn Frankaríki.
Read	609		Mánin er úr osti.
Read	611		Nógv fer_afólk hava vitja_ úti í Mykinesi í summar.
Produce	101	VA	Páll seg_i at han seti seg ofta aftast í bussinum.
Produce	103	VA	Ása seg_i at hon smyrji sær ongantí_ um gerandisdagarnar.
Produce	105	VA	Páll seg_i at han raki sær altí_ um morgunin.
Produce	107	VA	Páll seg_i at han koyri ofta bil til arbei_is.
Produce	109	VA	Óli seg_i at han komi aldri ov seint til arbei_is.
Produce	111	VA	Páll seg_i at han lurti altí_ eftir útvarpinum í bilinum.
Produce	201	VA	Páll er stolt av at han bekymri seg aldri um smáting.
Produce	203	VA	Óli er stolt av at han leggi seg ofta at sova á_renn midnátt.
Produce	205	VA	Páll er stolt av at han uppføri seg altí_ væl í skúlanum.
Produce	207	VA	Óli er stolt av at han fái ofta alt rætt í einari roynd.
Produce	209	VA	Páll er stolt av at han súkkli altí_ til arbei_is.
Produce	211	VA	Óli er stolt av at han komi aldri ov seint í skúla.
Produce	101	AV	Páll seg_i at han ofta seti seg aftast í bussinum.
Produce	103	AV	Ása seg_i at hon ongantí_ smyrji sær um gerandisdagarnar.
Produce	105	AV	Páll seg_i at han altí_ raki sær um morgunin.
Produce	107	AV	Páll seg_i at han ofta koyri bil til arbei_is.
Produce	109	AV	Óli seg_i at han aldri komi ov seint til arbei_is.
Produce	111	AV	Páll seg_i at han altí_ lurti eftir útvarpinum í bilinum.
Produce	201	AV	Páll er stolt av at han aldri bekymri seg um smáting.
Produce	203	AV	Óli er stolt av at han ofta leggi seg at sova á_renn midnátt.
Produce	205	AV	Páll er stolt av at han altí_ uppføri seg væl í skúlanum.
Produce	207	AV	Óli er stolt av at han ofta fái alt rætt í einari roynd.
Produce	209	AV	Páll er stolt av at han altí_ súkkli til arbei_is.
Produce	211	AV	Óli er stolt av at han aldri komi ov seint í skúla.
Produce	302	VA	Páll spurdi um Óli setur seg altí_ fremst í skúlastovuni.
Produce	304	VA	Óli spurdi um Páll følir seg ofta einsamallan í skúlanum.
Produce	306	VA	Páll spurdi um Óli rakar sær ongantí_ um morgunin.
Produce	308	VA	Óli spurdi um Páll súkklar altí_ til arbei_is.
Produce	310	VA	Páll spurdi um Ása kemur ofta ov seint í skúla.
Produce	312	VA	Óli spurdi um Ása fer ongantí_ í b_in leygarkvøld.
Produce	302	AV	Páll spurdi um Óli setur seg altí_ fremst í skúlastovuni.
